semester,region,total,female,male,urm_status,rm_status,f_urm,m_urm,f_rm,m_rm,female_percentage,male_percentage,urm_status_percentage,rm_status_percentage,f_urm_percentage,m_urm_percentage,f_rm_percentage,m_rm_percentage
2014-08-01,International,59,11,48,0,59,0,0,11,48,18.64406779661017,81.35593220338984,0,100,0,0,18.64406779661017,81.35593220338984
2014-08-01,Midwest,39,13,26,0,39,0,0,13,26,33.33333333333333,66.66666666666666,0,100,0,0,33.33333333333333,66.66666666666666
2014-08-01,Northeast,163,31,132,0,163,0,0,31,132,19.018404907975462,80.98159509202453,0,100,0,0,19.018404907975462,80.98159509202453
2014-08-01,South,113,19,94,1,112,0,1,19,93,16.8141592920354,83.1858407079646,0.8849557522123894,99.11504424778761,0,0.8849557522123894,16.8141592920354,82.30088495575221
2014-08-01,West,141,26,115,1,140,1,0,25,115,18.439716312056735,81.56028368794325,0.7092198581560284,99.29078014184397,0.7092198581560284,0,17.73049645390071,81.56028368794325
2015-01-01,International,69,9,60,0,69,0,0,9,60,13.043478260869565,86.95652173913044,0,100,0,0,13.043478260869565,86.95652173913044
2015-01-01,Midwest,37,7,30,0,37,0,0,7,30,18.91891891891892,81.08108108108108,0,100,0,0,18.91891891891892,81.08108108108108
2015-01-01,Northeast,135,28,107,1,134,0,1,28,106,20.74074074074074,79.25925925925927,0.7407407407407408,99.25925925925925,0,0.7407407407407408,20.74074074074074,78.51851851851852
2015-01-01,South,146,36,110,1,145,1,0,35,110,24.65753424657534,75.34246575342466,0.684931506849315,99.31506849315068,0.684931506849315,0,23.972602739726025,75.34246575342466
2015-01-01,West,265,47,218,0,265,0,0,47,218,17.735849056603772,82.26415094339623,0,100,0,0,17.735849056603772,82.26415094339623
2015-08-01,International,79,15,64,0,79,0,0,15,64,18.9873417721519,81.0126582278481,0,100,0,0,18.9873417721519,81.0126582278481
2015-08-01,Midwest,36,6,30,0,36,0,0,6,30,16.666666666666664,83.33333333333334,0,100,0,0,16.666666666666664,83.33333333333334
2015-08-01,Northeast,162,39,123,3,159,1,2,38,121,24.074074074074073,75.92592592592592,1.8518518518518516,98.14814814814815,0.6172839506172839,1.2345679012345678,23.456790123456788,74.69135802469135
2015-08-01,South,136,29,107,2,134,1,1,28,106,21.323529411764707,78.67647058823529,1.4705882352941175,98.52941176470588,0.7352941176470588,0.7352941176470588,20.588235294117645,77.94117647058823
2015-08-01,West,175,47,128,3,172,0,3,47,125,26.857142857142858,73.14285714285714,1.7142857142857144,98.28571428571429,0,1.7142857142857144,26.857142857142858,71.42857142857143
2016-01-01,International,70,14,56,0,70,0,0,14,56,20,80,0,100,0,0,20,80
2016-01-01,Midwest,35,4,31,0,35,0,0,4,31,11.428571428571429,88.57142857142857,0,100,0,0,11.428571428571429,88.57142857142857
2016-01-01,Northeast,183,46,137,3,180,2,1,44,136,25.136612021857925,74.86338797814209,1.639344262295082,98.36065573770492,1.092896174863388,0.546448087431694,24.043715846994534,74.31693989071039
2016-01-01,South,150,26,124,2,148,0,2,26,122,17.333333333333336,82.66666666666667,1.3333333333333335,98.66666666666667,0,1.3333333333333335,17.333333333333336,81.33333333333333
2016-01-01,West,262,72,190,2,260,0,2,72,188,27.480916030534353,72.51908396946564,0.7633587786259541,99.23664122137404,0,0.7633587786259541,27.480916030534353,71.7557251908397
2016-08-01,International,62,11,51,0,62,0,0,11,51,17.741935483870968,82.25806451612904,0,100,0,0,17.741935483870968,82.25806451612904
2016-08-01,Midwest,46,6,40,0,46,0,0,6,40,13.043478260869565,86.95652173913044,0,100,0,0,13.043478260869565,86.95652173913044
2016-08-01,Northeast,158,49,109,3,155,1,2,48,107,31.0126582278481,68.9873417721519,1.89873417721519,98.10126582278481,0.6329113924050633,1.2658227848101267,30.37974683544304,67.72151898734177
2016-08-01,South,126,25,101,1,125,0,1,25,100,19.841269841269842,80.15873015873017,0.7936507936507936,99.20634920634922,0,0.7936507936507936,19.841269841269842,79.36507936507937
2016-08-01,West,146,34,112,0,146,0,0,34,112,23.28767123287671,76.71232876712328,0,100,0,0,23.28767123287671,76.71232876712328
2017-01-01,International,85,18,67,0,85,0,0,18,67,21.176470588235293,78.82352941176471,0,100,0,0,21.176470588235293,78.82352941176471
2017-01-01,Midwest,30,1,29,0,30,0,0,1,29,3.3333333333333335,96.66666666666667,0,100,0,0,3.3333333333333335,96.66666666666667
2017-01-01,Northeast,164,39,125,5,159,3,2,36,123,23.78048780487805,76.21951219512195,3.048780487804878,96.95121951219512,1.8292682926829267,1.2195121951219512,21.951219512195124,75
2017-01-01,South,125,30,95,2,123,0,2,30,93,24,76,1.6,98.4,0,1.6,24,74.4
2017-01-01,West,226,36,190,2,224,0,2,36,188,15.929203539823009,84.070796460177,0.8849557522123894,99.11504424778761,0,0.8849557522123894,15.929203539823009,83.1858407079646
2017-08-01,International,65,10,55,1,64,0,1,10,54,15.384615384615385,84.61538461538461,1.5384615384615385,98.46153846153847,0,1.5384615384615385,15.384615384615385,83.07692307692308
2017-08-01,Midwest,45,8,37,0,45,0,0,8,37,17.77777777777778,82.22222222222221,0,100,0,0,17.77777777777778,82.22222222222221
2017-08-01,Northeast,173,40,133,0,173,0,0,40,133,23.121387283236995,76.878612716763,0,100,0,0,23.121387283236995,76.878612716763
2017-08-01,South,166,46,120,1,165,0,1,46,119,27.710843373493976,72.28915662650603,0.6024096385542169,99.3975903614458,0,0.6024096385542169,27.710843373493976,71.6867469879518
2017-08-01,West,162,39,123,0,162,0,0,39,123,24.074074074074073,75.92592592592592,0,100,0,0,24.074074074074073,75.92592592592592
2018-01-01,International,88,18,70,0,88,0,0,18,70,20.454545454545457,79.54545454545455,0,100,0,0,20.454545454545457,79.54545454545455
2018-01-01,Midwest,38,11,27,0,38,0,0,11,27,28.947368421052634,71.05263157894737,0,100,0,0,28.947368421052634,71.05263157894737
2018-01-01,Northeast,192,48,144,4,188,1,3,47,141,25,75,2.083333333333333,97.91666666666666,0.5208333333333333,1.5625,24.479166666666664,73.4375
2018-01-01,South,149,33,116,2,147,2,0,31,116,22.14765100671141,77.85234899328859,1.342281879194631,98.65771812080537,1.342281879194631,0,20.80536912751678,77.85234899328859
2018-01-01,West,224,55,169,0,224,0,0,55,169,24.553571428571427,75.44642857142857,0,100,0,0,24.553571428571427,75.44642857142857
2018-08-01,International,73,11,62,2,71,0,2,11,60,15.068493150684931,84.93150684931507,2.73972602739726,97.26027397260275,0,2.73972602739726,15.068493150684931,82.1917808219178
2018-08-01,Midwest,43,7,36,3,40,2,1,5,35,16.27906976744186,83.72093023255815,6.976744186046512,93.02325581395348,4.651162790697675,2.3255813953488373,11.627906976744185,81.3953488372093
2018-08-01,Northeast,183,51,132,5,178,3,2,48,130,27.86885245901639,72.1311475409836,2.73224043715847,97.26775956284153,1.639344262295082,1.092896174863388,26.229508196721312,71.03825136612022
2018-08-01,South,162,34,128,3,159,2,1,32,127,20.98765432098765,79.01234567901234,1.8518518518518516,98.14814814814815,1.2345679012345678,0.6172839506172839,19.753086419753085,78.39506172839506
2018-08-01,West,148,40,108,1,147,0,1,40,107,27.027027027027028,72.97297297297297,0.6756756756756757,99.32432432432432,0,0.6756756756756757,27.027027027027028,72.2972972972973
2019-01-01,International,80,19,61,1,79,1,0,18,61,23.75,76.25,1.25,98.75,1.25,0,22.5,76.25
2019-01-01,Midwest,79,23,56,0,79,0,0,23,56,29.11392405063291,70.88607594936708,0,100,0,0,29.11392405063291,70.88607594936708
2019-01-01,Northeast,183,54,129,6,177,4,2,50,127,29.508196721311474,70.49180327868852,3.278688524590164,96.72131147540983,2.185792349726776,1.092896174863388,27.322404371584703,69.39890710382514
