semester,region,Seminars
2014-08-01,Midwest,8
2014-08-01,Northeast,21
2014-08-01,South,7
2014-08-01,Unknown,7
2014-08-01,West,11
2015-01-01,Midwest,6
2015-01-01,Northeast,10
2015-01-01,South,21
2015-01-01,Unknown,5
2015-01-01,West,14
2015-08-01,Midwest,5
2015-08-01,Northeast,20
2015-08-01,South,14
2015-08-01,Unknown,9
2015-08-01,West,18
2016-01-01,Midwest,2
2016-01-01,Northeast,22
2016-01-01,South,10
2016-01-01,Unknown,10
2016-01-01,West,23
2016-08-01,Midwest,2
2016-08-01,Northeast,25
2016-08-01,South,16
2016-08-01,Unknown,4
2016-08-01,West,12
2017-01-01,Midwest,1
2017-01-01,Northeast,20
2017-01-01,South,14
2017-01-01,Unknown,11
2017-01-01,West,19
2017-08-01,Midwest,3
2017-08-01,Northeast,22
2017-08-01,South,24
2017-08-01,Unknown,6
2017-08-01,West,10
2018-01-01,Midwest,5
2018-01-01,Northeast,28
2018-01-01,South,13
2018-01-01,Unknown,8
2018-01-01,West,21
2018-08-01,Midwest,3
2018-08-01,Northeast,30
2018-08-01,South,16
2018-08-01,Unknown,3
2018-08-01,West,19
2019-01-01,Midwest,10
2019-01-01,Northeast,30
2019-01-01,South,20
2019-01-01,Unknown,9
2019-01-01,West,25
2019-08-01,Midwest,9
2019-08-01,Northeast,39
2019-08-01,South,34
2019-08-01,Unknown,6
2019-08-01,West,16
