semester,region,Seminars
2014-08-01,Midwest,19
2014-08-01,Northeast,107
2014-08-01,South,56
2014-08-01,Unknown,27
2014-08-01,West,57
2015-01-01,Midwest,21
2015-01-01,Northeast,79
2015-01-01,South,85
2015-01-01,Unknown,36
2015-01-01,West,82
2015-08-01,Midwest,16
2015-08-01,Northeast,93
2015-08-01,South,65
2015-08-01,Unknown,48
2015-08-01,West,58
2016-01-01,Midwest,15
2016-01-01,Northeast,103
2016-01-01,South,79
2016-01-01,Unknown,44
2016-01-01,West,98
2016-08-01,Midwest,21
2016-08-01,Northeast,83
2016-08-01,South,60
2016-08-01,Unknown,29
2016-08-01,West,65
2017-01-01,Midwest,9
2017-01-01,Northeast,85
2017-01-01,South,72
2017-01-01,Unknown,46
2017-01-01,West,101
2017-08-01,Midwest,16
2017-08-01,Northeast,97
2017-08-01,South,91
2017-08-01,Unknown,39
2017-08-01,West,64
2018-01-01,Midwest,19
2018-01-01,Northeast,109
2018-01-01,South,77
2018-01-01,Unknown,36
2018-01-01,West,84
2018-08-01,Midwest,20
2018-08-01,Northeast,104
2018-08-01,South,93
2018-08-01,Unknown,42
2018-08-01,West,71
2019-01-01,Midwest,28
2019-01-01,Northeast,101
2019-01-01,South,82
2019-01-01,Unknown,37
2019-01-01,West,101
2019-08-01,Midwest,27
2019-08-01,Northeast,108
2019-08-01,South,102
2019-08-01,Unknown,36
2019-08-01,West,77
