seminar_id,semester,urm,female,urm_female,region
88ac1392e9e0c2ac81e1a9d72fcf648c,2018-01-01,1,1,0,NA
116599d35a0fad4843502ef61d5b24d5,2019-01-01,1,0,0,NA
05ac062b03fcffb983d8c9b0c59e78e7,2014-08-01,1,1,0,NA
2f89c7cd6227ce766a38d435d8a053d5,2018-08-01,1,0,0,NA
1aba91f655e4a122d1f44691c51cd354,2016-01-01,1,1,0,NA
5319a62ee563cb5f4d95259fabfc9094,2017-01-01,1,0,0,NA
84952242768dcd3a2ca1dc1e16fd8238,2019-01-01,1,0,0,NA
c59c2da8f2ea3cb7cd5589ef7a5a8eb2,2019-01-01,1,0,0,NA
9fe8610fd0c2f759bfe950195b01a6b9,2018-01-01,1,0,0,Northeast
6a46cc070b65c5d627c8582eca8f54cf,2016-01-01,1,0,0,Northeast
4408592ea0a369ba1e04085c2ba7138a,2019-08-01,1,0,0,Northeast
9444fe8e5f5c595060b8c8e3605fd96a,2015-08-01,1,0,0,Northeast
e0733ced5e0f1695762a67b49c6823fe,2019-08-01,1,1,0,Northeast
13e973115219c56601491572dc662de4,2018-01-01,1,0,0,Northeast
0a12edf70acae12462aea498ec4bc4c7,2018-01-01,1,1,0,Northeast
f1a92b367c4ecc7bb1720a823e726054,2014-08-01,1,0,0,Northeast
7a2d7feb0e649f073f648563cc3c67ab,2018-01-01,0,0,0,Northeast
aca370bca8d22349c50e7f40d1b61326,2019-08-01,1,0,0,West
9598f4f4bb3a33b692e511156be6f742,2014-08-01,1,0,0,West
39891b289bec083ed5eae643f9f1979c,2017-01-01,1,1,0,West
52b491f63cbb605118ee08a2a1169359,2016-01-01,1,0,0,West
490c2ff5b41404cc8d3f6486893b9226,2016-01-01,1,0,0,West
a4587addb630cc599593fa0e8b966a19,2018-08-01,1,0,0,West
f38e1c5be7ac1ba88e43bcf2a298089a,2017-01-01,1,0,0,West
134c21e5729763fd18e175aa901372ca,2015-08-01,1,0,0,West
f682d84214ee1019ba3b68e86e676b9c,2018-08-01,1,0,0,West
1dd10e8090057a9f12f0f17b99551266,2015-08-01,1,0,0,West
058e0b2633916140e70f600c4cc5f6e5,2015-08-01,1,1,0,West
73f6c562f6389a7bd7b2faeafd305bc1,2015-08-01,1,0,0,West
a3abc91ef2aaea49f21b088075d8c279,2015-08-01,1,1,0,West
f387bba91b2e943fa9a2b1df233fbd61,2019-08-01,1,0,0,South
58e19b9fc39d89b694dfda0acac2d98a,2016-08-01,1,0,0,South
dcfc0bd259b593d64a5456b4ac3f1463,2019-01-01,1,0,0,South
495089723023f83e0a44c2e7e49e78e3,2018-08-01,1,0,0,South
b492f55a3db7d8e33ec101309f78f451,2019-08-01,1,0,0,Northeast
b7d167cbe6f041e9c00ca514d91c9592,2019-01-01,1,0,0,Northeast
62a02250900144e89d969f269bdc8387,2015-01-01,1,0,0,Northeast
7340985a69a76f289c36bc10dc26ca2c,2018-08-01,1,0,0,Northeast
479f1b3ca3a33917cef26c2c96eea360,2019-01-01,1,0,0,South
8030821839d3afd2b772a7f59b975c5a,2019-01-01,1,0,0,South
18abd8924d905ed4da43e90c327c8caf,2018-01-01,1,0,0,South
830144376077f66e8c0208444ab82a64,2017-01-01,1,0,0,South
cb63218a24ab314244c9aa1863d2b78e,2015-01-01,1,1,0,South
00c10d39bd2c7fd08662295465785e42,2015-01-01,1,0,0,South
d0bc954c3a7b70fa3e4f676bc820065b,2018-01-01,1,1,0,South
b00f21473800fd79013de14d2d8b3ab1,2019-08-01,1,1,0,South
d869f554152cd1874afd758b50b76efb,2017-01-01,1,0,0,South
4c250e622edd23a4b3218ed2c6788791,2017-01-01,1,0,0,Midwest
1039047ce345bd79487379745ee76e86,2018-01-01,1,1,0,Midwest
b3144a1dc199e76e97c1f21213224557,2016-08-01,1,0,0,Midwest
11d1e95d17cd4d2f8f62d812cfb7ca2b,2018-08-01,0,1,1,Midwest
d3d66864769e14f4e0c3efd3aae2e293,2019-01-01,1,0,0,Midwest
484bc5edf61266483eaa2382a5223a21,2015-01-01,1,1,0,South
610a7ce1c5b25f92ca2dfd22bf035537,2018-08-01,1,0,0,West
1896edbd9587928446ae1ce6e4d228fd,2019-08-01,1,0,0,NA
944d4da0b3f879e7c9c457a88d74ec4d,2018-01-01,1,0,0,NA
a2df6bc1d58ee1380fb795a69cd5a22f,2017-08-01,1,1,0,NA
c070350ca1e60e0b8fcadc59087d3f7a,2019-08-01,1,1,0,Midwest
fc849b4129b1695e6f7344d9ad042bb0,2019-01-01,1,0,0,Midwest
b6e6eae04092f1fac47ae62b5cfe0ac7,2019-08-01,1,0,0,NA
97be117376c9a3938d65f3ad6bb30935,2019-08-01,1,0,0,NA
f836c86064621a985545af840eeede71,2015-01-01,1,1,0,NA
734eb9ae8bef52974e1304a31c757251,2019-08-01,1,0,0,NA
0c0a7a9c5b6a6e45277fcf4a6c486d59,2017-01-01,1,0,0,NA
81af33ffcf14387a28a1d200913aab73,2017-08-01,1,0,0,NA
00e7172ca1ce27aab6a5ada9b79273b5,2014-08-01,1,1,0,NA
e8dc65796bceb6a69be8206d5ee666c5,2019-08-01,1,0,0,NA
