semester,urm,female,Speakers
2014-08-01,0,0,1
2014-08-01,0,1,1
2014-08-01,1,0,414
2014-08-01,1,1,99
2015-01-01,0,0,1
2015-01-01,0,1,1
2015-01-01,1,0,524
2015-01-01,1,1,126
2015-08-01,0,0,6
2015-08-01,0,1,2
2015-08-01,1,0,446
2015-08-01,1,1,134
2016-01-01,0,0,5
2016-01-01,0,1,2
2016-01-01,1,0,533
2016-01-01,1,1,160
2016-08-01,0,0,3
2016-08-01,0,1,1
2016-08-01,1,0,410
2016-08-01,1,1,124
2017-01-01,0,0,6
2017-01-01,0,1,3
2017-01-01,1,0,500
2017-01-01,1,1,121
2017-08-01,0,0,2
2017-08-01,1,0,466
2017-08-01,1,1,143
2018-01-01,0,0,3
2018-01-01,0,1,3
2018-01-01,1,0,523
2018-01-01,1,1,162
2018-08-01,0,0,7
2018-08-01,0,1,7
2018-08-01,1,0,459
2018-08-01,1,1,136
2019-01-01,0,0,4
2019-01-01,0,1,8
2019-01-01,1,0,562
2019-01-01,1,1,197
2019-08-01,0,0,6
2019-08-01,0,1,5
2019-08-01,1,0,489
2019-08-01,1,1,192
