semester,region,female,Speakers
2014-08-01,Midwest,0,26
2014-08-01,Midwest,1,13
2014-08-01,Northeast,0,132
2014-08-01,Northeast,1,31
2014-08-01,South,0,94
2014-08-01,South,1,19
2014-08-01,Unknown,0,48
2014-08-01,Unknown,1,11
2014-08-01,West,0,115
2014-08-01,West,1,26
2015-01-01,Midwest,0,30
2015-01-01,Midwest,1,7
2015-01-01,Northeast,0,107
2015-01-01,Northeast,1,28
2015-01-01,South,0,110
2015-01-01,South,1,36
2015-01-01,Unknown,0,60
2015-01-01,Unknown,1,9
2015-01-01,West,0,218
2015-01-01,West,1,47
2015-08-01,Midwest,0,30
2015-08-01,Midwest,1,6
2015-08-01,Northeast,0,123
2015-08-01,Northeast,1,39
2015-08-01,South,0,107
2015-08-01,South,1,29
2015-08-01,Unknown,0,64
2015-08-01,Unknown,1,15
2015-08-01,West,0,128
2015-08-01,West,1,47
2016-01-01,Midwest,0,31
2016-01-01,Midwest,1,4
2016-01-01,Northeast,0,137
2016-01-01,Northeast,1,46
2016-01-01,South,0,124
2016-01-01,South,1,26
2016-01-01,Unknown,0,56
2016-01-01,Unknown,1,14
2016-01-01,West,0,190
2016-01-01,West,1,72
2016-08-01,Midwest,0,40
2016-08-01,Midwest,1,6
2016-08-01,Northeast,0,109
2016-08-01,Northeast,1,49
2016-08-01,South,0,101
2016-08-01,South,1,25
2016-08-01,Unknown,0,51
2016-08-01,Unknown,1,11
2016-08-01,West,0,112
2016-08-01,West,1,34
2017-01-01,Midwest,0,29
2017-01-01,Midwest,1,1
2017-01-01,Northeast,0,125
2017-01-01,Northeast,1,39
2017-01-01,South,0,95
2017-01-01,South,1,30
2017-01-01,Unknown,0,67
2017-01-01,Unknown,1,18
2017-01-01,West,0,190
2017-01-01,West,1,36
2017-08-01,Midwest,0,37
2017-08-01,Midwest,1,8
2017-08-01,Northeast,0,133
2017-08-01,Northeast,1,40
2017-08-01,South,0,120
2017-08-01,South,1,46
2017-08-01,Unknown,0,55
2017-08-01,Unknown,1,10
2017-08-01,West,0,123
2017-08-01,West,1,39
2018-01-01,Midwest,0,27
2018-01-01,Midwest,1,11
2018-01-01,Northeast,0,144
2018-01-01,Northeast,1,48
2018-01-01,South,0,116
2018-01-01,South,1,33
2018-01-01,Unknown,0,70
2018-01-01,Unknown,1,18
2018-01-01,West,0,169
2018-01-01,West,1,55
2018-08-01,Midwest,0,36
2018-08-01,Midwest,1,7
2018-08-01,Northeast,0,132
2018-08-01,Northeast,1,51
2018-08-01,South,0,128
2018-08-01,South,1,34
2018-08-01,Unknown,0,62
2018-08-01,Unknown,1,11
2018-08-01,West,0,108
2018-08-01,West,1,40
2019-01-01,Midwest,0,56
2019-01-01,Midwest,1,23
2019-01-01,Northeast,0,129
2019-01-01,Northeast,1,54
2019-01-01,South,0,121
2019-01-01,South,1,35
2019-01-01,Unknown,0,61
2019-01-01,Unknown,1,19
2019-01-01,West,0,199
2019-01-01,West,1,74
2019-08-01,Midwest,0,39
2019-08-01,Midwest,1,18
2019-08-01,Northeast,0,122
2019-08-01,Northeast,1,62
2019-08-01,South,0,134
2019-08-01,South,1,60
2019-08-01,Unknown,0,49
2019-08-01,Unknown,1,12
2019-08-01,West,0,151
2019-08-01,West,1,45
