semester,region,urm,Speakers
2014-08-01,Midwest,1,39
2014-08-01,Northeast,1,163
2014-08-01,South,0,1
2014-08-01,South,1,112
2014-08-01,West,0,1
2014-08-01,West,1,140
2014-08-01,NA,1,59
2015-01-01,Midwest,1,37
2015-01-01,Northeast,0,1
2015-01-01,Northeast,1,134
2015-01-01,South,0,1
2015-01-01,South,1,145
2015-01-01,West,1,265
2015-01-01,NA,1,69
2015-08-01,Midwest,1,36
2015-08-01,Northeast,0,3
2015-08-01,Northeast,1,159
2015-08-01,South,0,2
2015-08-01,South,1,134
2015-08-01,West,0,3
2015-08-01,West,1,172
2015-08-01,NA,1,79
2016-01-01,Midwest,1,35
2016-01-01,Northeast,0,3
2016-01-01,Northeast,1,180
2016-01-01,South,0,2
2016-01-01,South,1,148
2016-01-01,West,0,2
2016-01-01,West,1,260
2016-01-01,NA,1,70
2016-08-01,Midwest,1,46
2016-08-01,Northeast,0,3
2016-08-01,Northeast,1,155
2016-08-01,South,0,1
2016-08-01,South,1,125
2016-08-01,West,1,146
2016-08-01,NA,1,62
2017-01-01,Midwest,1,30
2017-01-01,Northeast,0,5
2017-01-01,Northeast,1,159
2017-01-01,South,0,2
2017-01-01,South,1,123
2017-01-01,West,0,2
2017-01-01,West,1,224
2017-01-01,NA,1,85
2017-08-01,Midwest,1,45
2017-08-01,Northeast,1,173
2017-08-01,South,0,1
2017-08-01,South,1,165
2017-08-01,West,1,162
2017-08-01,NA,0,1
2017-08-01,NA,1,64
2018-01-01,Midwest,1,38
2018-01-01,Northeast,0,4
2018-01-01,Northeast,1,188
2018-01-01,South,0,2
2018-01-01,South,1,147
2018-01-01,West,1,224
2018-01-01,NA,1,88
2018-08-01,Midwest,0,3
2018-08-01,Midwest,1,40
2018-08-01,Northeast,0,5
2018-08-01,Northeast,1,178
2018-08-01,South,0,3
2018-08-01,South,1,159
2018-08-01,West,0,1
2018-08-01,West,1,147
2018-08-01,NA,0,2
2018-08-01,NA,1,71
2019-01-01,Midwest,1,79
2019-01-01,Northeast,0,6
2019-01-01,Northeast,1,177
2019-01-01,South,0,5
2019-01-01,South,1,151
2019-01-01,West,1,273
2019-01-01,NA,0,1
2019-01-01,NA,1,79
2019-08-01,Midwest,1,57
2019-08-01,Northeast,0,5
2019-08-01,Northeast,1,179
2019-08-01,South,0,3
2019-08-01,South,1,191
2019-08-01,West,0,3
2019-08-01,West,1,193
2019-08-01,NA,1,61
