semester,urm_status,type,percent
2014-08-01,Non-URM female,Mean,0.02371312897628687
2014-08-01,Non-URM female,Median,0
2014-08-01,Non-URM male,Mean,0.10208212839791787
2014-08-01,Non-URM male,Median,0
2014-08-01,URM female,Mean,2.8918449971081553e-4
2014-08-01,URM female,Median,0
2014-08-01,URM male,Mean,2.891844997108155e-4
2014-08-01,URM male,Median,0
2015-01-01,Non-URM female,Mean,0.03007518796992481
2015-01-01,Non-URM female,Median,0
2015-01-01,Non-URM male,Mean,0.11972238288027762
2015-01-01,Non-URM male,Median,0
2015-01-01,URM female,Mean,2.891844997108155e-4
2015-01-01,URM female,Median,0
2015-01-01,URM male,Mean,2.891844997108155e-4
2015-01-01,URM male,Median,0
2015-08-01,Non-URM female,Mean,0.030942741469057258
2015-08-01,Non-URM female,Median,0
2015-08-01,Non-URM male,Mean,0.10757663389242336
2015-08-01,Non-URM male,Median,0
2015-08-01,URM female,Mean,5.78368999421631e-4
2015-08-01,URM female,Median,0
2015-08-01,URM male,Mean,8.675534991324465e-4
2015-08-01,URM male,Median,0
2016-01-01,Non-URM female,Mean,0.03383458646616541
2016-01-01,Non-URM female,Median,0
2016-01-01,Non-URM male,Mean,0.12926547137073452
2016-01-01,Non-URM male,Median,0
2016-01-01,URM female,Mean,5.78368999421631e-4
2016-01-01,URM female,Median,0
2016-01-01,URM male,Mean,8.675534991324465e-4
2016-01-01,URM male,Median,0
2016-08-01,Non-URM female,Mean,0.03007518796992481
2016-08-01,Non-URM female,Median,0
2016-08-01,Non-URM male,Mean,0.1043956043956044
2016-08-01,Non-URM male,Median,0
2016-08-01,URM female,Mean,2.891844997108155e-4
2016-08-01,URM female,Median,0
2016-08-01,URM male,Mean,8.675534991324465e-4
2016-08-01,URM male,Median,0
2017-01-01,Non-URM female,Mean,0.031231925968768073
2017-01-01,Non-URM female,Median,0
2017-01-01,Non-URM male,Mean,0.12377096587622903
2017-01-01,Non-URM male,Median,0
2017-01-01,URM female,Mean,5.78368999421631e-4
2017-01-01,URM female,Median,0
2017-01-01,URM male,Mean,0.001735106998264893
2017-01-01,URM male,Median,0
2017-08-01,Non-URM female,Mean,0.035569693464430306
2017-08-01,Non-URM female,Median,0
2017-08-01,Non-URM male,Mean,0.11683053788316947
2017-08-01,Non-URM male,Median,0
2017-08-01,URM male,Mean,5.78368999421631e-4
2017-08-01,URM male,Median,0
2018-01-01,Non-URM female,Mean,0.03990746096009254
2018-01-01,Non-URM female,Median,0
2018-01-01,Non-URM male,Mean,0.12926547137073452
2018-01-01,Non-URM male,Median,0
2018-01-01,URM female,Mean,5.78368999421631e-4
2018-01-01,URM female,Median,0
2018-01-01,URM male,Mean,2.891844997108155e-4
2018-01-01,URM male,Median,0
2018-08-01,Non-URM female,Mean,0.03470213996529786
2018-08-01,Non-URM female,Median,0
2018-08-01,Non-URM male,Mean,0.12058993637941007
2018-08-01,Non-URM male,Median,0
2018-08-01,URM female,Mean,0.0014459224985540775
2018-08-01,URM female,Median,0
2018-08-01,URM male,Mean,0.001735106998264893
2018-08-01,URM male,Median,0
2019-01-01,Non-URM female,Mean,0.045401966454598035
2019-01-01,Non-URM female,Median,0
2019-01-01,Non-URM male,Mean,0.12984384037015617
2019-01-01,Non-URM male,Median,0
2019-01-01,URM female,Mean,0.0014459224985540775
2019-01-01,URM female,Median,0
2019-01-01,URM male,Mean,0.001156737998843262
2019-01-01,URM male,Median,0
2019-08-01,Non-URM female,Mean,0.0448235974551764
2019-08-01,Non-URM female,Median,0
2019-08-01,Non-URM male,Mean,0.11856564488143435
2019-08-01,Non-URM male,Median,0
2019-08-01,URM female,Mean,0.001156737998843262
2019-08-01,URM female,Median,0
2019-08-01,URM male,Mean,0.0014459224985540775
2019-08-01,URM male,Median,0
